snyk_id,vulnerability type,ecosystem,package,security release,repository_url,possible release note,possible changelogs,link,row,is_doc,list of sources (separated by semicolon),source,snyk version wrong listed,is_fix,How is the fix mentioned? (initial codes); separated by semicolon,fix_pattern,is_uc,is_br,how the breaking change is mentioned? (initial codes); separated by semicolon,breaking_pattern,Additional Comments,external_codes
SNYK-DOTNET-MICROSOFTASPNETCORESERVERIIS-451561,Open Redirect,NuGet,microsoft.aspnetcore.server.iis,2.2.6,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/v2.2.6,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERIIS-451561,22,y,,changelog,,y,cve mention; vuln type; risk explanation; exploit; affected version,security notice;fix reference;affected version listed;vulnerability description;advisory reference;exploit;affected component listed,n,n,,,,d
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.1.0-rc1-final,https://github.com/aspnet/KestrelHttpServer,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,24,n,,,,n,,,,n,,,,y
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.0.4,https://github.com/aspnet/KestrelHttpServer,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,25,n,,,,,,,,n,,,,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.1.2,https://github.com/aspnet/KestrelHttpServer,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,26,y,https://github.com/dotnet/core/blob/main/release-notes/2.1/2.1.2.md,changelog,,y,security notice; vuln type; risk explanation,security notice;vulnerability description,y,n,,,,y
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.abstractions,2.1.0-rc1-final,https://github.com/aspnet/KestrelHttpServer,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,28,n,,,,,,,,n,,,,y
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.libuv,2.1.0-rc1-final,https://github.com/dotnet/aspnetcore,not found through script,https://github.com/dotnet/aspnetcore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/dotnet/aspnetcore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,30,n,,,,,,,,n,,,,y
SNYK-DOTNET-MICROSOFTCHAKRACORE-173805,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.3,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.3,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173805,31,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v173,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-173828,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.4,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.4,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173828,32,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v174,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-173901,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.10.1,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.10.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173901,33,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v175,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-173917,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.11.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173917,34,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v176,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174197,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.11.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174197,35,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v177,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174206,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.11.7,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.7,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174206,36,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v178,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174246,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.8.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.8.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174246,39,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v178,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174250,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.8.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.8.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174250,40,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v179,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174313,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.4,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.4,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174313,41,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v180,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174314,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174314,42,y,https://github.com/chakra-core/ChakraCore/wiki/Roadmap#v181,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-449653,Arbitrary Code Execution,NuGet,microsoft.chakracore,1.111.0,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-449653,43,y,,changelog,Y,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-559783,Information Exposure,NuGet,microsoft.chakracore,1.111.7,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-559783,44,y,,changelog,Y,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174387,Information Exposure,NuGet,microsoft.chakracore.vc140,1.11.1,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174387,45,y,,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174477,Remote Code Execution (RCE),NuGet,microsoft.chakracore.vc140,1.10.1,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.10.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174477,46,y,,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174484,Remote Code Execution (RCE),NuGet,microsoft.chakracore.vc140,1.11.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174484,47,y,,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174493,Remote Code Execution (RCE),NuGet,microsoft.chakracore.vc140,1.10.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.10.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174493,48,y,,changelog,,y,security mention; cve link; pr reference,security notice;advisory reference;fix reference,y,n,,,,
SNYK-DOTNET-MICROSOFTNETCOREAPP-174571,Cross-site Request Forgery (CSRF),NuGet,microsoft.netcore.app,2.1.4,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/2.1.4,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTNETCOREAPP-174571,49,y,,changelog,,n,,,y,n,,,,
SNYK-DOTNET-MICROSOFTNETCOREAPP-174710,Denial of Service (DoS),NuGet,microsoft.netcore.app,2.1.11,https://github.com/aspnet/AspNetCore,not found through script,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTNETCOREAPP-174710,50,y,,changelog,,y,security notice; cve mention; vuln type,security notice;vulnerability description;advisory reference;affected component listed,y,n,,,,
SNYK-DOTNET-MICROSOFTNETCOREAPP-174710,Denial of Service (DoS),NuGet,microsoft.netcore.app,2.2.5,https://github.com/aspnet/AspNetCore,not found through script,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTNETCOREAPP-174710,51,y,,changelog,,y,security notice; cve mention; vuln type,security notice;vulnerability description;advisory reference;affected component listed,y,n,,,,
SNYK-DOTNET-MICROSOFTNETCOREAPP-541848,Remote Code Execution (RCE),NuGet,microsoft.netcore.app,3.0.2,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/v3.0.2,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTNETCOREAPP-541848,52,y,,changelog,,y,security notice; cve mention; vuln type,security notice;vulnerability description;advisory reference;affected component listed,y,n,,,,
SNYK-DOTNET-MICROSOFTNETCOREAPP-541848,Remote Code Execution (RCE),NuGet,microsoft.netcore.app,3.1.1,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/v3.1.1,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTNETCOREAPP-541848,53,y,,changelog,,y,security notice; cve mention; vuln type,security notice;vulnerability description;advisory reference;affected component listed,y,n,,,,
SNYK-DOTNET-MICROSOFTZ3X64-1063225,Use After Free,NuGet,microsoft.z3.x64,4.8.10,https://github.com/Z3Prover/z3,https://github.com/Z3Prover/z3/releases/tag/z3-4.8.10,https://github.com/Z3Prover/z3/blob/master/RELEASE_NOTES,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTZ3X64-1063225,54,y,,github release note,,,,fix reference,y,n,,,,
SNYK-DOTNET-NPGSQL-469157,SQL Injection,NuGet,npgsql,2.2.6,https://github.com/npgsql/npgsql,https://github.com/npgsql/npgsql/releases/tag/v2.2.6,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-NPGSQL-469157,55,y,,github release note,,y,vuln type; PR reference; affected version,vulnerability description;security notice;fix reference;affected version listed,y,n,,,,
SNYK-DOTNET-PERSONNUMMER-674156,Improper Input Validation,NuGet,personnummer,3.0.2,https://github.com/personnummer/csharp,https://github.com/personnummer/csharp/releases/tag/3.0.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-PERSONNUMMER-674156,56,y,,github release note,,,,fix reference,n,n,,,,
SNYK-DOTNET-PETEROCBOR-536078,Denial of Service (DoS),NuGet,petero.cbor,4.0.0,https://github.com/peteroupc/CBOR,https://github.com/peteroupc/CBOR/releases/tag/v4.0.0,https://github.com/peteroupc/CBOR/blob/master/History.md,https://snyk.io/vuln/SNYK-DOTNET-PETEROCBOR-536078,57,y,,changelog,,n,,,y,n,,,major version but with very little change,
SNYK-DOTNET-TINYMCE-1056410,Cross-site Scripting (XSS),NuGet,tinymce,5.6.0,https://github.com/tinymce/tinymce,not found through script,https://github.com/tinymce/tinymce/blob/master/modules/agar/CHANGELOG.md ; https://github.com/tinymce/tinymce/blob/master/modules/alloy/CHANGELOG.md ; https://github.com/tinymce/tinymce/blob/master/modules/katamari/CHANGELOG.md ; https://github.com/tinymce/tinymce/blob/master/modules/tinymce/CHANGELOG.md,https://snyk.io/vuln/SNYK-DOTNET-TINYMCE-1056410,59,y,,homepage announcement,,y,security mention; vuln type; risk explanation,security notice;vulnerability description,y,n,,,,
