snyk_id,vulnerability type,ecosystem,package,security release,repository_url,possible release note,possible changelogs,link,is_doc,list of sources (separated by semicolon),source,snyk version wrong listed,is_fix,How is the fix mentioned? (initial codes); separated by semicolon,fix_pattern,is_uc,is_br,how the breaking change is mentioned? (initial codes); separated by semicolon,breaking_pattern,Additional Comments,row
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.libuv,2.0.3,https://github.com/dotnet/aspnetcore,https://github.com/dotnet/aspnetcore/releases/tag/2.0.3,https://github.com/dotnet/aspnetcore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/dotnet/aspnetcore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,y,,changelog,,n,,,y,n,,,,29
SNYK-DOTNET-MICROSOFTCHAKRACORE-174242,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.8,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174242,n,,,,n,,,n,n,,,,37
SNYK-DOTNET-MICROSOFTCHAKRACORE-174244,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.8,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174244,n,,,,n,,,n,n,,,,38
SNYK-DOTNET-SYSTEMDATASQLITECORE-60236,Memory Corruption,NuGet,system.data.sqlite.core,1.0.94.0,https://github.com/dotnet/corefx,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-SYSTEMDATASQLITECORE-60236,n,,,,n,,,n,n,,,,58
SNYK-GOLANG-GITHUBCOMARGOPROJARGOCDUTILOIDC-572378,Cross-site Scripting (XSS),Go,github.com/argoproj/argo-cd/util/oidc,1.5.8,https://github.com/argoproj/argo-cd,https://github.com/argoproj/argo-cd/releases/tag/v1.5.8,https://github.com/argoproj/argo-cd/blob/master/CHANGELOG.md ; https://github.com/argoproj/argo-cd/blob/master/docs/user-guide/commands/argocd_app_history.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMARGOPROJARGOCDUTILOIDC-572378,y,,changelog,,y,pr reference,Fix reference,y,n,,,,62
SNYK-GOLANG-GITHUBCOMARTDAREKGOUNZIP-559505,Arbitrary File Write via Archive Extraction (Zip Slip),Go,github.com/artdarek/go-unzip,1.0.0,https://github.com/artdarek/go-unzip,https://github.com/artdarek/go-unzip/releases/tag/v1.0.0,no changlog found in script,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMARTDAREKGOUNZIP-559505,n,,,,n,,,n,n,,,,63
SNYK-GOLANG-GITHUBCOMETHEREUMGOETHEREUMCONSENSUS-1045351,Incorrect Calculation,Go,github.com/ethereum/go-ethereum/consensus,1.9.24,https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/releases/tag/v1.9.24,https://github.com/ethereum/go-ethereum/blob/master/cmd/clef/extapi_changelog.md ; https://github.com/ethereum/go-ethereum/blob/master/cmd/clef/intapi_changelog.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMETHEREUMGOETHEREUMCONSENSUS-1045351,y,,github release note,,y,pr reference,Fix reference,y,n,,,"updating dependency which has a critical impact on the package; ""Geth v1.9.24 is a security release. It is built with Go v1.15.5, fixing CVE-2020-28362, which has a critical impact for Ethereum"" which is not actually listed on snyk",75
SNYK-GOLANG-GITHUBCOMETHEREUMGOETHEREUMCOREVM-1045822,Incorrect Calculation,Go,github.com/ethereum/go-ethereum/core/vm,1.19.7,https://github.com/ethereum/go-ethereum,not found through script,https://github.com/ethereum/go-ethereum/blob/master/cmd/clef/extapi_changelog.md ; https://github.com/ethereum/go-ethereum/blob/master/cmd/clef/intapi_changelog.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMETHEREUMGOETHEREUMCOREVM-1045822,n,,,,n,,,n,n,,,,76
SNYK-GOLANG-GITHUBCOMGOAAHAAH-559113,Directory Traversal,Go,github.com/go-aah/aah,0.12.4,https://github.com/go-aah/aah,https://github.com/go-aah/aah/releases/tag/v0.12.4,no changlog found in script,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOAAHAAH-559113,y,,github release note,,y,pr reference,Fix reference,n,n,,,,78
SNYK-GOLANG-GITHUBCOMGOADESIGNGOA-536317,Directory Traversal,Go,github.com/goadesign/goa,1.4.3,https://github.com/goadesign/goa,not found through script,https://github.com/goadesign/goa/blob/master/RELEASE.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOADESIGNGOA-536317,n,,,,n,,,n,n,,,,79
SNYK-GOLANG-GITHUBCOMGOADESIGNGOA-536317,Directory Traversal,Go,github.com/goadesign/goa,2.0.10,https://github.com/goadesign/goa,not found through script,https://github.com/goadesign/goa/blob/master/RELEASE.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOADESIGNGOA-536317,n,,,,n,,,n,n,,,,80
SNYK-GOLANG-GITHUBCOMGOADESIGNGOA-536317,Directory Traversal,Go,github.com/goadesign/goa,3.0.9,https://github.com/goadesign/goa,not found through script,https://github.com/goadesign/goa/blob/master/RELEASE.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOADESIGNGOA-536317,n,,,,n,,,n,n,,,,81
SNYK-GOLANG-GITHUBCOMGOHARBORHARBOR-560858,Cross-site Request Forgery (CSRF),Go,github.com/goharbor/harbor,1.8.6,https://github.com/goharbor/harbor,https://github.com/goharbor/harbor/releases/tag/v1.8.6,https://github.com/goharbor/harbor/blob/master/CHANGELOG.md ; https://github.com/goharbor/harbor/blob/master/RELEASES.md ; https://github.com/goharbor/harbor/blob/master/src/portal/src/app/base/left-side-nav/gc-page/gc/gc-history/gc-history.component.html ; https://github.com/goharbor/harbor/blob/master/src/portal/src/app/base/left-side-nav/user/change-password/change-password.component.html ; https://github.com/goharbor/harbor/blob/master/src/portal/src/app/base/project/repository/artifact/artifact-additions/build-history/build-history.component.html ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/dghubble/sling/CHANGES.md ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/dgrijalva/jwt-go/VERSION_HISTORY.md ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/emicklei/go-restful/CHANGES.md ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/fsnotify/fsnotify/CHANGELOG.md ; https://github.com/goharbor/harbor/blob/master/src/vendo,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOHARBORHARBOR-560858,y,,github release note,,y,security mention; vuln type; risk summary,Security notice; Vulnerability description,y,n,,,,83
SNYK-GOLANG-GITHUBCOMGOHARBORHARBOR-560858,Cross-site Request Forgery (CSRF),Go,github.com/goharbor/harbor,1.9.3,https://github.com/goharbor/harbor,https://github.com/goharbor/harbor/releases/tag/v1.9.3,https://github.com/goharbor/harbor/blob/master/CHANGELOG.md ; https://github.com/goharbor/harbor/blob/master/RELEASES.md ; https://github.com/goharbor/harbor/blob/master/src/portal/src/app/base/left-side-nav/gc-page/gc/gc-history/gc-history.component.html ; https://github.com/goharbor/harbor/blob/master/src/portal/src/app/base/left-side-nav/user/change-password/change-password.component.html ; https://github.com/goharbor/harbor/blob/master/src/portal/src/app/base/project/repository/artifact/artifact-additions/build-history/build-history.component.html ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/dghubble/sling/CHANGES.md ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/dgrijalva/jwt-go/VERSION_HISTORY.md ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/emicklei/go-restful/CHANGES.md ; https://github.com/goharbor/harbor/blob/master/src/vendor/github.com/fsnotify/fsnotify/CHANGELOG.md ; https://github.com/goharbor/harbor/blob/master/src/vendo,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOHARBORHARBOR-560858,y,,github release note,,y,security mention; vuln type; risk summary,Security notice; Vulnerability description,y,n,,,,84
SNYK-GOLANG-GITHUBCOMGOLANGCRYPTO-551925,Improper Signature Verification,Go,github.com/golang/crypto,0.0.0-20200220183623-bac4c82f6975,https://github.com/golang/crypto,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOLANGCRYPTO-551925,n,,,,n,,,n,n,,,,85
SNYK-GOLANG-GITHUBCOMGOPASSPWGOPASSINTERNALTPL-1061912,Insecure Encryption,Go,github.com/gopasspw/gopass/internal/tpl,1.11.0,https://github.com/gopasspw/gopass,https://github.com/gopasspw/gopass/releases/tag/v1.11.0,https://github.com/gopasspw/gopass/blob/master/CHANGELOG.md ; https://github.com/gopasspw/gopass/blob/master/docs/commands/history.md ; https://github.com/gopasspw/gopass/blob/master/docs/releases.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOPASSPWGOPASSINTERNALTPL-1061912,y,,changelog,,y,commit log,fix reference,y,n,,,,86
SNYK-GOLANG-GITHUBCOMGOPHISHGOPHISH-1023590,Session Fixation,Go,github.com/gophish/gophish,0.10.1,https://github.com/gophish/gophish,https://github.com/gophish/gophish/releases/tag/v0.10.1,https://github.com/gophish/gophish/blob/master/static/js/src/vendor/ckeditor/CHANGES.md ; https://github.com/gophish/gophish/blob/master/static/js/src/vendor/ckeditor/plugins/scayt/CHANGELOG.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOPHISHGOPHISH-1023590,y,,github release note,,n,,,y,n,,,,87
SNYK-GOLANG-GITHUBCOMGOPHISHGOPHISHCONTROLLERS-597668,Server-side Request Forgery (SSRF),Go,github.com/gophish/gophish/controllers,0.6.0,https://github.com/gophish/gophish,https://github.com/gophish/gophish/releases/tag/v0.6.0,https://github.com/gophish/gophish/blob/master/static/js/src/vendor/ckeditor/CHANGES.md ; https://github.com/gophish/gophish/blob/master/static/js/src/vendor/ckeditor/plugins/scayt/CHANGELOG.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOPHISHGOPHISHCONTROLLERS-597668,y,,github release note,,n,,,y,n,,,,88
SNYK-GOLANG-GITHUBCOMGOVELACOMPILERTEMPLATENATIVE-1055439,Information Exposure,Go,github.com/go-vela/compiler/template/native,0.6.1,https://github.com/go-vela/compiler,https://github.com/go-vela/compiler/releases/tag/v0.6.1,https://github.com/go-vela/compiler/blob/master/.chglog/CHANGELOG.tpl.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGOVELACOMPILERTEMPLATENATIVE-1055439,n,,,,n,,,n,n,,,,89
SNYK-GOLANG-GITHUBCOMGRAVITATIONALTELEPORTLIBUTILSPARSE-1040723,Denial of Service (DoS),Go,github.com/gravitational/teleport/lib/utils/parse,5.0.1-dev.1,https://github.com/gravitational/teleport,not found through script,https://github.com/gravitational/teleport/blob/master/CHANGELOG.md ; https://github.com/gravitational/teleport/blob/master/docs/postrelease.md ; https://github.com/gravitational/teleport/blob/master/docs/prerelease.md ; https://github.com/gravitational/teleport/blob/master/vendor/cloud.google.com/go/CHANGES.md ; https://github.com/gravitational/teleport/blob/master/vendor/cloud.google.com/go/firestore/CHANGES.md ; https://github.com/gravitational/teleport/blob/master/vendor/cloud.google.com/go/storage/CHANGES.md ; https://github.com/gravitational/teleport/blob/master/vendor/github.com/beevik/etree/RELEASE_NOTES.md ; https://github.com/gravitational/teleport/blob/master/vendor/github.com/dgrijalva/jwt-go/VERSION_HISTORY.md ; https://github.com/gravitational/teleport/blob/master/vendor/github.com/jackc/pgconn/CHANGELOG.md ; https://github.com/gravitational/teleport/blob/master/vendor/github.com/sirupsen/logrus/CHANGELOG.md ; https://github.com/gravitational/teleport/blob/master/vendor/go.uber.org/atomic/CHANGEL,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMGRAVITATIONALTELEPORTLIBUTILSPARSE-1040723,n,,,,n,,,n,n,,,,90
SNYK-GOLANG-GITHUBCOMHASHICORPCONSULAGENT-1055825,Denial of Service (DoS),Go,github.com/hashicorp/consul/agent,1.9.2,https://github.com/hashicorp/consul,https://github.com/hashicorp/consul/releases/tag/v1.9.2,https://github.com/hashicorp/consul/blob/master/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/circonus-labs/circonus-gometrics/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/dgrijalva/jwt-go/VERSION_HISTORY.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/digitalocean/godo/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/go-ole/go-ole/ChangeLog.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/gophercloud/gophercloud/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/hashicorp/go-immutable-radix/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/hashicorp/raft/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/joyent/triton-go/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/master/vendor/github.com/linode/linodego/CHANGELOG.md ; https://github.com/hashicorp/consul/blob/ma,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMHASHICORPCONSULAGENT-1055825,y,,changelog,,y,pr reference; summary of fix,Fix reference,y,n,deprecation,,,95
SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESPKGVOLUMERBD-1048858,Information Exposure,Go,github.com/kubernetes/kubernetes/pkg/volume/rbd,1.20.0-alpha.2,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-alpha.2,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESPKGVOLUMERBD-1048858,y,,changelog,,y,summary fix; pr reference; affected component,Fix reference; Affected component listed,y,y,api chang notice; api names; affected component; pr reference,breaking change notice; affected api listed; code change reference,,103
SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESSTAGINGSRCK8SIOAPIMACHINERYPKGUTILPROXY-72666,Privilege Escalation,Go,github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/util/proxy,1.10.11,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.10.11,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESSTAGINGSRCK8SIOAPIMACHINERYPKGUTILPROXY-72666,y,,changelog,,y,security issue; cve mention; affected component; pr reference,Security notice; Advisory reference; Affected component listed; Fix reference,n,n,,,,104
SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESSTAGINGSRCK8SIOAPIMACHINERYPKGUTILPROXY-72666,Privilege Escalation,Go,github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/util/proxy,1.11.5,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.11.5,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESSTAGINGSRCK8SIOAPIMACHINERYPKGUTILPROXY-72666,y,,changelog,,y,security issue; cve mention; affected component; pr reference,Security notice; Advisory reference; Affected component listed; Fix reference,y,n,,,,105
SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESSTAGINGSRCK8SIOAPIMACHINERYPKGUTILPROXY-72666,Privilege Escalation,Go,github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/util/proxy,1.12.3,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.12.3,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMKUBERNETESKUBERNETESSTAGINGSRCK8SIOAPIMACHINERYPKGUTILPROXY-72666,y,,changelog,,y,security issue; cve mention; affected component; pr reference,Security notice; Advisory reference; Affected component listed; Fix reference,y,n,,,,106
SNYK-GOLANG-GITHUBCOMMHOLTARCHIVERCMDARC-174728,Arbitrary File Write via Archive Extraction (Zip Slip),Go,github.com/mholt/archiver/cmd/arc,3.3.2,https://github.com/mholt/archiver,https://github.com/mholt/archiver/releases/tag/v3.3.2,no changlog found in script,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMMHOLTARCHIVERCMDARC-174728,y,,github release note,,y,vuln type; attack type; commit log,Vulnerability description; Fix reference,y,n,,,,109
SNYK-GOLANG-GITHUBCOMMUESLICRUNCHY-543999,Denial of Service (DoS),Go,github.com/muesli/crunchy,0.4.0,https://github.com/muesli/crunchy,https://github.com/muesli/crunchy/releases/tag/v0.4.0,no changlog found in script,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMMUESLICRUNCHY-543999,y,,github release note,,y,summary change,Fix reference,y,n,,,,110
SNYK-GOLANG-GITHUBCOMORYFOSITE-1015593,Open Redirect,Go,github.com/ory/fosite,0.34.1,https://github.com/ory/fosite,https://github.com/ory/fosite/releases/tag/v0.34.1,https://github.com/ory/fosite/blob/master/CHANGELOG.md ; https://github.com/ory/fosite/blob/master/HISTORY.md,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMORYFOSITE-1015593,y,,changelog,,y,vuln details; exploit,Vulnerability description; Exploit,n,n,,,,111
