snyk_id,vulnerability type,ecosystem,package,security release,repository,possible release note,possible changelogs,link,Is there a documentation source?,list of sources (separated by semicolon),main source,snyk version wrong listed,is the fix mentioned?,How is the fix mentioned? (initial codes); separated by semicolon,How is the fix mentioned? (final codes); separated by semicolon,is there unrelated change mentioned?,is breaking change mentioned?,how the breaking change is mentioned? (initial codes); separated by semicolon,how the breaking change is mentioned? (final codes); separated by semicolon,Additional Comments,Additional Resources
SNYK-DOTNET-DOTNETNUKECORE-536082,Inadequate Encryption Strength,NuGet,dotnetnuke.core,9.3.0,https://github.com/dnnsoftware/Dnn.Platform,not found through script,https://github.com/dnnsoftware/Dnn.Platform/blob/master/.github/RELEASE_SCHEDULE.md ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/Build/Symbols/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Admin Modules/Dnn.Modules.Console/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Components/Microsoft.CodeDom.Providers.DotNetCompilerPlatform/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/Azure/releaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleAnalytics/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Connectors/GoogleTagManager/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Controls/SolpartMenu/ReleaseNotes.txt ; https://github.com/dnnsoftware/Dnn.Platform/blob/master/DNN Platform/Dnn.AuthServices.Jwt/releaseNotes.txt ; https://github.com/dnns,https://snyk.io/vuln/SNYK-DOTNET-DOTNETNUKECORE-536082,N,N,N,,,,,,,,,,
SNYK-DOTNET-GW2SHARP-536077,Information Exposure,NuGet,gw2sharp,0.3.1,https://github.com/Archomeda/Gw2Sharp,https://github.com/Archomeda/Gw2Sharp/releases/tag/v0.3.1,https://github.com/Archomeda/Gw2Sharp/blob/master/CHANGELOG.md,https://snyk.io/vuln/SNYK-DOTNET-GW2SHARP-536077,Y,changelog.md,changelog,,Y,fix mentioned; link to issue; link to commit,fix reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.0.3,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/2.0.3,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,Y,release notes,changelog,,Y,CVE mentioned; security notice; summary of vulnerability; link to issue; affected packages,fix reference; security notice; vulnerability description; advisory reference; affected component listed,Y,N,,,,
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.1.0-rc1-final,https://github.com/aspnet/AspNetCore,not found through script,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60240,Y,release notes,changelog,,N,,,N,N,,,"Found version v2.1.0-rc1, no final included ",
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.0.9,https://github.com/aspnet/AspNetCore,not found through script,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,Y,release notes,changelog,,N,,,,,,,,
SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,Denial of Service (DoS),NuGet,microsoft.aspnetcore.all,2.1.2,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/2.1.2,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREALL-60258,Y,github release note,github release note,,Y,link to issue; summary of vulnerability; affected packages; summary of fixes; connected to other issues,fix reference; security notice; vulnerability description; affected component listed; affected versions listed,Y,N,,,,
SNYK-DOTNET-MICROSOFTASPNETCOREAPP-60259,Denial of Service (DoS),NuGet,microsoft.aspnetcore.app,2.1.2,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/2.1.2,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCOREAPP-60259,Y,github release note,github release note,,Y,link to issue; summary of vulnerability; affected packages; summary of fixes; connected to other issues,fix reference; security notice; vulnerability description; affected component listed; affected versions listed,Y,N,,,,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERIIS-451561,Open Redirect,NuGet,microsoft.aspnetcore.server.iis,2.2.6,https://github.com/aspnet/AspNetCore,https://github.com/dotnet/aspnetcore/releases/tag/v2.2.6,https://github.com/aspnet/AspNetCore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/aspnet/AspNetCore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/aspnet/AspNetCore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERIIS-451561,Y,github release note,github release note,,Y,CVE mentioned; security notice; summary of vulnerability; link to vulnerability details; affected packages,fix reference; security notice; vulnerability description; advisory reference; affected component listed; affected versions listed,N,N,,,,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.0.3,no repository listed,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,Y,github release note,github release note,,N,,,Y,N,,,,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.1.0-rc1-final,no repository listed,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60241,Y,github release note,github release note,,N,list of bug fixes,,Y,N,,,"Found version v2.1.0-rc1, no final included ",
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.0.4,no repository listed,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,N,N,N,,,,,,,,,Could not find version 2.0.4 anywhere,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.core,2.1.2,no repository listed,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELCORE-60261,Y,github release note,github release note,,Y,link to issue; summary of vulnerability; affected packages; summary of fixes; connected to other issues,fix reference; security notice; vulnerability description; affected component listed; affected versions listed,Y,N,,,,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.abstractions,2.0.3,no repository listed,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,Y,github release note,github release note,,N,,,Y,N,,,Snyk points to the same issue as row 23,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.abstractions,2.1.0-rc1-final,no repository listed,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTABSTRACTIONS-60242,Y,github release note,github release note,,N,list of bug fixes,,Y,N,,,Snyk points to the same issue as row 23,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.libuv,2.0.3,no repository listed,https://github.com/dotnet/aspnetcore/releases/tag/2.0.3,https://github.com/dotnet/aspnetcore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/dotnet/aspnetcore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,Y,github release note,github release note,,N,,,Y,N,,,Snyk points to the same issue as row 23,
SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,Denial of Service (DoS),NuGet,microsoft.aspnetcore.server.kestrel.transport.libuv,2.1.0-rc1-final,no repository listed,not found through script,https://github.com/dotnet/aspnetcore/blob/master/src/Identity/samples/IdentitySample.Mvc/Views/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/ConfirmEmailChange.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Identity/UI/src/Areas/Identity/Pages/V4/Account/Manage/ChangePassword.cshtml ; https://github.com/dotnet/aspnetcore/blob/master/src/Installers/Debian/tools/templates/debian/changelog ; https://github.com/dotnet/aspnetcore/blob/master/src/Security/samples/Identity.ExternalClaims/Pages/Account/Manage/ChangePassword.cshtml,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTASPNETCORESERVERKESTRELTRANSPORTLIBUV-60243,Y,github release note,github release note,,N,list of bug fixes,,Y,N,,,Snyk points to the same issue as row 23,
SNYK-DOTNET-MICROSOFTCHAKRACORE-173805,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.3,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.3,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173805,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-173828,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.4,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.4,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173828,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-173901,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.10.1,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.10.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173901,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-173917,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.11.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-173917,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174197,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.11.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174197,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174206,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.11.7,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.7,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174206,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174242,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.8,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174242,N,N,N,,,,,,,,,Version tag/release does not exist,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174244,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.8,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174244,N,N,N,,,,,,,,,Version tag/release does not exist,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174246,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.8.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.8.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174246,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174250,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.8.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.8.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174250,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174313,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.4,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.4,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174313,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-174314,Remote Code Execution (RCE),NuGet,microsoft.chakracore,1.7.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.7.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-174314,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACORE-449653,Arbitrary Code Execution,NuGet,microsoft.chakracore,1.111.0,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-449653,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,"wrong version listed, correct version 1.11.10",
SNYK-DOTNET-MICROSOFTCHAKRACORE-559783,Information Exposure,NuGet,microsoft.chakracore,1.111.7,https://github.com/Microsoft/ChakraCore,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACORE-559783,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,"wrong version listed, correct version 1.11.17",
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174387,Information Exposure,NuGet,microsoft.chakracore.vc140,1.11.1,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174387,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174477,Remote Code Execution (RCE),NuGet,microsoft.chakracore.vc140,1.10.1,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.10.1,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174477,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174484,Remote Code Execution (RCE),NuGet,microsoft.chakracore.vc140,1.11.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.11.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174484,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174493,Remote Code Execution (RCE),NuGet,microsoft.chakracore.vc140,1.10.2,https://github.com/Microsoft/ChakraCore,https://github.com/chakra-core/ChakraCore/releases/tag/v1.10.2,no changlog found in script,https://snyk.io/vuln/SNYK-DOTNET-MICROSOFTCHAKRACOREVC140-174493,Y,github release note,github release note,,Y,CVE mentioned; link to pull request; link to commit,fix reference; advisory reference,Y,N,,,,
